Date,Day,Meal,Guests_Served,Meals_Served,male,female,AgeUnder18,AgeOver60,ToGoMeal,DiabeticMeal,HelperCount,Holiday
1/1/2007,mon,supper,97,131,67,30,0,19,,,,HOLIDAY
1/2/2007,tue,lunch,104,147,80,24,3,20,,,,
1/2/2007,tue,supper,97,124,67,30,2,26,,,,
1/3/2007,wed,lunch,83,111,60,23,0,7,,,,
1/3/2007,wed,supper,128,164,89,39,0,25,,,,
1/4/2007,thurs,lunch,102,131,72,30,0,10,,,,
1/4/2007,thurs,supper,138,154,100,38,2,21,,,,
1/5/2007,fri,lunch,91,109,79,12,2,8,,,,
1/5/2007,fri,supper,98,113,81,17,2,19,,,,
1/6/2007,sat,dinner,107,142,72,35,0,22,,,,
1/7/2007,sun,dinner,102,126,71,31,0,21,,,,
1/8/2007,mon,lunch,93,147,70,23,0,8,,,,
1/8/2007,mon,supper,140,142,90,50,0,17,,,,
1/9/2007,tue,lunch,77,102,53,24,2,5,,,,
1/9/2007,tue,supper,120,137,84,36,1,24,,,,
1/10/2007,wed,lunch,98,138,76,22,0,8,,,,
1/10/2007,wed,supper,119,140,92,27,3,13,,,,
1/11/2007,thurs,lunch,80,113,55,25,0,16,,,,
1/11/2007,thurs,supper,143,155,112,31,0,14,,,,
1/12/2007,fri,lunch,95,102,83,12,0,12,,,,
1/12/2007,fri,supper,98,108,77,21,2,9,,,,
1/13/2007,sat,dinner,118,130,87,31,3,10,,,,
1/14/2007,sun,dinner,117,143,81,36,3,23,,,,
1/15/2007,mon,lunch,90,137,63,27,1,10,,,,
1/15/2007,mon,supper,127,147,97,30,0,24,,,,
1/16/2007,tue,lunch,114,135,92,22,1,10,,,,
1/16/2007,tue,supper,115,141,80,35,1,23,,,,
1/17/2007,wed,lunch,101,126,74,27,0,9,,,,
1/17/2007,wed,supper,120,135,90,30,3,11,,,,
1/18/2007,thurs,lunch,85,97,57,28,0,12,,,,
1/18/2007,thurs,supper,139,159,104,35,0,16,,,,
1/19/2007,fri,lunch,98,113,75,23,3,9,,,,
1/19/2007,fri,supper,125,142,97,28,1,19,,,,
1/20/2007,sat,dinner,128,133,99,29,2,11,,,,
1/21/2007,sun,dinner,122,137,94,28,0,24,,,,
1/22/2007,mon,supper,93,111,60,33,2,22,,,,
1/22/2007,mon,supper,147,166,106,41,0,33,,,,
1/23/2007,tue,lunch,108,135,83,25,0,9,,,,
1/23/2007,tue,supper,121,149,79,42,0,22,,,,
1/24/2007,wed,lunch,105,110,81,24,2,8,,,,
1/24/2007,wed,supper,138,150,108,30,3,14,,,,
1/25/2007,thurs,lunch,104,136,71,33,0,21,,,,
1/25/2007,thurs,supper,144,166,111,33,2,12,,,,
1/26/2007,fri,lunch,93,99,67,26,2,18,,,,
1/26/2007,fri,supper,97,107,70,27,3,13,,,,
1/27/2007,sat,dinner,125,144,93,32,3,15,,,,
1/28/2007,sun,dinner,123,148,86,37,0,23,,,,
1/29/2007,mon,lunch,125,165,85,40,0,10,,,,
1/29/2007,mon,supper,145,176,98,47,1,17,,,,
1/30/2007,tue,lunch,123,143,98,25,2,8,,,,
1/30/2007,tue,supper,134,156,90,44,3,25,,,,
1/31/2007,wed,lunch,127,147,96,31,0,5,,,,
1/31/2007,wed,supper,145,165,106,39,0,10,,,,
2/1/2007,thurs,lunch,87,127,57,30,1,7,,,,
2/1/2007,thurs,supper,132,136,92,40,3,12,,,,
2/2/2007,fri,lunch,81,96,65,16,0,18,,,,
2/2/2007,fri,supper,105,143,71,34,0,21,,,,
2/3/2007,sat,dinner,107,123,73,34,0,21,,,,
2/4/2007,sun,dinner,85,104,60,25,0,14,,,,
2/5/2007,mon,lunch,70,90,48,22,0,5,,,,
2/5/2007,mon,supper,117,127,80,37,1,11,,,,
2/6/2007,tue,lunch,77,102,49,28,2,10,,,,
2/6/2007,tue,supper,107,134,70,37,3,21,,,,
2/7/2007,wed,lunch,68,83,55,13,2,5,,,,
2/7/2007,wed,supper,113,136,84,29,2,11,,,,
2/8/2007,thurs,lunch,107,122,79,28,2,10,,,,
2/8/2007,thurs,supper,100,110,80,20,1,10,,,,
2/9/2007,fri,lunch,66,84,54,12,0,4,,,,
2/9/2007,fri,supper,99,112,72,27,3,9,,,,
2/10/2007,sat,dinner,88,108,61,27,2,5,,,,
2/11/2007,sun,dinner,105,120,75,30,1,11,,,,
2/12/2007,mon,lunch,88,108,60,28,0,5,,,,
2/12/2007,mon,supper,123,131,81,42,0,14,,,,
2/13/2007,tue,lunch,75,94,56,19,0,7,,,,
2/13/2007,tue,supper,135,154,95,40,0,22,,,,
2/14/2007,wed,lunch,90,104,75,15,2,3,,,,
2/14/2007,wed,supper,114,131,85,29,4,10,,,,
2/15/2007,thurs,lunch,81,98,57,24,1,8,,,,
2/15/2007,thurs,supper,150,166,118,32,3,12,,,,
2/16/2007,fri,lunch,76,85,61,15,0,8,,,,
2/16/2007,fri,supper,115,132,86,29,2,12,,,,
2/17/2007,sat,dinner,111,129,90,21,1,8,,,,
2/18/2007,sun,dinner,109,139,70,39,2,14,,,,
2/19/2007,mon,lunch,95,135,60,35,0,7,,,,
2/19/2007,mon,supper,137,158,97,40,2,14,,,,
2/20/2007,tue,lunch,104,142,75,29,1,5,,,,
2/20/2007,tue,supper,111,125,74,37,0,20,,,,
2/21/2007,wed,lunch,85,104,73,12,0,2,,,,
2/21/2007,wed,supper,119,145,88,31,2,9,,,,
2/22/2007,thurs,lunch,99,99,61,38,3,14,,,,
2/22/2007,thurs,supper,135,161,104,31,3,15,,,,
2/23/2007,fri,lunch,115,127,76,39,2,30,,,,
2/23/2007,fri,supper,125,142,93,32,4,10,,,,
2/24/2007,sat,dinner,127,141,98,29,2,9,,,,
2/25/2007,sun,dinner,124,140,90,34,1,13,,,,
2/26/2007,mon,lunch,119,144,80,39,2,14,,,,
2/26/2007,mon,supper,138,156,95,43,1,11,,,,
2/27/2007,tue,lunch,90,114,73,17,2,5,,,,
2/27/2007,tue,supper,128,159,85,43,3,35,,,,
2/28/2007,wed,lunch,98,120,87,11,0,4,,,,
2/28/2007,wed,supper,131,145,102,29,3,9,,,,
3/1/2007,thurs,lunch,88,120,60,28,0,8,,,,
3/1/2007,thurs,supper,133,155,97,36,3,10,,,,
3/2/2007,fri,lunch,76,84,53,23,0,12,,,,
3/2/2007,fri,supper,151,171,108,43,5,10,,,,
3/3/2007,sat,dinner,102,117,71,31,3,9,,,,
3/4/2007,sun,dinner,115,126,74,41,1,8,,,,
3/5/2007,mon,lunch,70,97,42,28,0,18,,,,
3/5/2007,mon,supper,119,130,87,32,0,13,,,,
3/6/2007,tue,lunch,80,93,66,14,0,7,,,,
3/6/2007,tue,supper,115,131,83,32,6,20,,,,
3/7/2007,wed,lunch,82,89,67,15,1,3,,,,
3/7/2007,wed,supper,145,170,107,38,3,11,,,,
3/8/2007,thurs,lunch,84,126,65,19,4,15,,,,
